,year,name,variant,price,emi,driven_km,fuel,transmission,registration,location,city
352,2018,Maruti Celerio,VXI AMT,374000.0,6604.0,73516,Petrol,,TN-05,Sholinganallur,Chennai
353,2019,Ford Ecosport,TITANIUM 1.5L PETROL,585000.0,10336.0,69590,Petrol,Manual,TN-01,"Nexus Vijaya Mall, Vadapalani",Chennai
354,2017,Maruti Alto 800,LXI,273000.0,5347.0,77718,Petrol,Manual,TN-18,Sholinganallur,Chennai
355,2019,Honda City,1.5L I-VTEC ZX,791000.0,13963.0,50718,Petrol,Manual,TN-18,"Thiruverkadu, Chennai",Chennai
356,2016,Mahindra TUV300,T8,558000.0,14707.0,75274,Diesel,Manual,TN-01,"Nexus Vijaya Mall, Vadapalani",Chennai
357,2019,Hyundai Tucson,GLS 2WD AT PETROL,1065000.0,18235.0,79823,Petrol,,TN-01,Sholinganallur,Chennai
358,2021,Nissan MAGNITE,XV TURBO,577000.0,10186.0,44794,Petrol,Manual,TN-11,"Nexus Vijaya Mall, Vadapalani",Chennai
359,2023,Skoda KUSHAQ,Active plus 1.0 TSI,717000.0,12666.0,78289,Petrol,Manual,TN-04,"Thiruverkadu, Chennai",Chennai
360,2018,Toyota YARIS,VX MT,608000.0,10733.0,77151,Petrol,Manual,TN-11,"Thiruverkadu, Chennai",Chennai
361,2020,MG HECTOR,SHARP 1.5 DCT PETROL,1122000.0,19213.0,42080,Petrol,,TN-23,"Nexus Vijaya Mall, Vadapalani",Chennai
362,2018,Jeep Compass,LIMITED 1.4 PETROL AT,861999.9999999999,14752.0,72894,Petrol,,TN-14,"Nexus Vijaya Mall, Vadapalani",Chennai
363,2018,Hyundai Eon,ERA +,290000.0,5119.0,50166,Petrol,Manual,TN-09,Sholinganallur,Chennai
364,2019,Renault Kwid,RXT 1.0 (O),338000.0,5967.0,60583,Petrol,Manual,TN-05,"Nexus Vijaya Mall, Vadapalani",Chennai
365,2021,Volkswagen Polo,COMFORTLINE 1.0L TSI AT,663000.0,11704.0,78806,Petrol,,TN-07,"Thiruverkadu, Chennai",Chennai
366,2019,Tata NEXON,XZ PLUS PETROL,586000.0,10341.0,50354,Petrol,Manual,TN-05,Sholinganallur,Chennai
367,2015,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,330000.0,8680.0,42315,Petrol,Manual,TN-01,Sholinganallur,Chennai
368,2022,Tata NEXON,XZ PLUS PETROL,713000.0,12585.0,19092,Petrol,Manual,TN-12,"Nexus Vijaya Mall, Vadapalani",Chennai
369,2016,Datsun Redi Go,S,202999.99999999997,4516.0,72632,Petrol,Manual,TN-01,Sholinganallur,Chennai
370,2014,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,350000.0,11638.0,39773,Petrol,Manual,TN-13,Sholinganallur,Chennai
371,2018,Maruti Celerio,ZXI AMT (O),413000.0,7283.0,31733,Petrol,,TN-04,"Thiruverkadu, Chennai",Chennai
372,2019,Hyundai VENUE,SX PLUS 1.0 TURBO DCT,656000.0,11573.0,48723,Petrol,,TN-07,"Nexus Vijaya Mall, Vadapalani",Chennai
373,2021,KIA SONET,HTX 1.0 IMT,650000.0,11467.0,87623,Petrol,Manual,TN-13,Sholinganallur,Chennai
374,2017,Maruti Wagon R 1.0,VXI AMT,353000.0,6901.0,75649,Petrol,,TN-13,"Nexus Vijaya Mall, Vadapalani",Chennai
375,2021,Mahindra Thar,LX PETROL HT 4WD AT,1132000.0,19384.0,19791,Petrol,,TN-14,Sholinganallur,Chennai
376,2021,Nissan MAGNITE,XV TURBO CVT DUAL TONE,584000.0,10310.0,72369,Petrol,,TN-13,"Nexus Vijaya Mall, Vadapalani",Chennai
377,2021,Skoda KUSHAQ,STYLE 1.0L TSI MT,788000.0,13913.0,79188,Petrol,Manual,TN-05,"Nexus Vijaya Mall, Vadapalani",Chennai
378,2024,MG ASTOR,Sprint 1.5 MT (Ivory),857000.0,14670.0,11044,Petrol,Manual,TN-12,"Thiruverkadu, Chennai",Chennai
379,2021,Jeep Compass,LIMITED (O) 1.4 PETROL DCT,1359000.0,23268.0,41159,Petrol,,TN-14,"Nexus Vijaya Mall, Vadapalani",Chennai
